slice_id,z_um,z_mm,relative_depth_percent,slice_zone
203,16240.0,16.24,46.774193548387096,lower_middle_25_50
204,16320.0,16.32,47.004608294930875,lower_middle_25_50
205,16400.0,16.4,47.235023041474655,lower_middle_25_50
206,16480.0,16.48,47.465437788018434,lower_middle_25_50
207,16560.0,16.56,47.69585253456221,lower_middle_25_50
208,16640.0,16.64,47.926267281105986,lower_middle_25_50
209,16720.0,16.72,48.15668202764977,lower_middle_25_50
210,16800.0,16.8,48.38709677419355,lower_middle_25_50
211,16880.0,16.88,48.61751152073733,lower_middle_25_50
212,16960.0,16.96,48.8479262672811,lower_middle_25_50
213,17040.0,17.04,49.07834101382488,lower_middle_25_50
214,17120.0,17.12,49.30875576036866,lower_middle_25_50
215,17200.0,17.2,49.53917050691244,lower_middle_25_50
216,17280.0,17.28,49.76958525345622,lower_middle_25_50
217,17360.0,17.36,50.0,lower_middle_25_50
218,17440.0,17.44,50.23041474654379,upper_middle_50_75
219,17520.0,17.52,50.46082949308756,upper_middle_50_75
220,17600.0,17.6,50.69124423963134,upper_middle_50_75
221,17680.0,17.68,50.92165898617511,upper_middle_50_75
222,17760.0,17.76,51.1520737327189,upper_middle_50_75
223,17840.0,17.84,51.382488479262676,upper_middle_50_75
224,17920.0,17.92,51.61290322580645,upper_middle_50_75
225,18000.0,18.0,51.843317972350235,upper_middle_50_75
226,18080.0,18.08,52.07373271889401,upper_middle_50_75
227,18160.0,18.16,52.30414746543779,upper_middle_50_75
228,18240.0,18.24,52.53456221198156,upper_middle_50_75
229,18320.0,18.32,52.764976958525345,upper_middle_50_75
230,18400.0,18.4,52.995391705069125,upper_middle_50_75
231,18480.0,18.48,53.2258064516129,upper_middle_50_75
232,18560.0,18.56,53.45622119815668,upper_middle_50_75
233,18640.0,18.64,53.686635944700456,upper_middle_50_75
234,18720.0,18.72,53.91705069124424,upper_middle_50_75
235,18800.0,18.8,54.14746543778802,upper_middle_50_75
236,18880.0,18.88,54.377880184331794,upper_middle_50_75
237,18960.0,18.96,54.60829493087558,upper_middle_50_75
238,19040.0,19.04,54.83870967741935,upper_middle_50_75
239,19120.0,19.12,55.06912442396313,upper_middle_50_75
240,19200.0,19.2,55.29953917050692,upper_middle_50_75
241,19280.0,19.28,55.52995391705069,upper_middle_50_75
242,19360.0,19.36,55.76036866359447,upper_middle_50_75
243,19440.0,19.44,55.99078341013824,upper_middle_50_75
244,19520.0,19.52,56.22119815668203,upper_middle_50_75
245,19600.0,19.6,56.451612903225815,upper_middle_50_75
246,19680.0,19.68,56.68202764976959,upper_middle_50_75
247,19760.0,19.76,56.91244239631337,upper_middle_50_75
248,19840.0,19.84,57.14285714285714,upper_middle_50_75
249,19920.0,19.92,57.373271889400925,upper_middle_50_75
250,20000.0,20.0,57.6036866359447,upper_middle_50_75
251,20080.0,20.08,57.83410138248848,upper_middle_50_75
252,20160.0,20.16,58.06451612903226,upper_middle_50_75
253,20240.0,20.24,58.294930875576036,upper_middle_50_75
254,20320.0,20.32,58.525345622119815,upper_middle_50_75
255,20400.0,20.4,58.75576036866359,upper_middle_50_75
256,20480.0,20.48,58.986175115207374,upper_middle_50_75
257,20560.0,20.56,59.21658986175116,upper_middle_50_75
258,20640.0,20.64,59.44700460829493,upper_middle_50_75
259,20720.0,20.72,59.67741935483871,upper_middle_50_75
260,20800.0,20.8,59.907834101382484,upper_middle_50_75
261,20880.0,20.88,60.13824884792627,upper_middle_50_75
262,20960.0,20.96,60.36866359447005,upper_middle_50_75
263,21040.0,21.04,60.59907834101382,upper_middle_50_75
264,21120.0,21.12,60.82949308755761,upper_middle_50_75
265,21200.0,21.2,61.05990783410138,upper_middle_50_75
266,21280.0,21.28,61.29032258064516,upper_middle_50_75
267,21360.0,21.36,61.52073732718893,upper_middle_50_75
268,21440.0,21.44,61.75115207373272,upper_middle_50_75
269,21520.0,21.52,61.9815668202765,upper_middle_50_75
270,21600.0,21.6,62.21198156682027,upper_middle_50_75
271,21680.0,21.68,62.44239631336406,upper_middle_50_75
272,21760.0,21.76,62.67281105990783,upper_middle_50_75
273,21840.0,21.84,62.903225806451616,upper_middle_50_75
274,21920.0,21.92,63.133640552995395,upper_middle_50_75
275,22000.0,22.0,63.36405529953917,upper_middle_50_75
276,22080.0,22.08,63.594470046082954,upper_middle_50_75
277,22160.0,22.16,63.824884792626726,upper_middle_50_75
278,22240.0,22.24,64.0552995391705,upper_middle_50_75
279,22320.0,22.32,64.28571428571429,upper_middle_50_75
280,22400.0,22.4,64.51612903225806,upper_middle_50_75
281,22480.0,22.48,64.74654377880185,upper_middle_50_75
282,22560.0,22.56,64.97695852534562,upper_middle_50_75
283,22640.0,22.64,65.2073732718894,upper_middle_50_75
284,22720.0,22.72,65.43778801843318,upper_middle_50_75
285,22800.0,22.8,65.66820276497695,upper_middle_50_75
286,22880.0,22.88,65.89861751152074,upper_middle_50_75
287,22960.0,22.96,66.12903225806451,upper_middle_50_75
288,23040.0,23.04,66.3594470046083,upper_middle_50_75
289,23120.0,23.12,66.58986175115207,upper_middle_50_75
290,23200.0,23.2,66.82027649769586,upper_middle_50_75
291,23280.0,23.28,67.05069124423963,upper_middle_50_75
292,23360.0,23.36,67.2811059907834,upper_middle_50_75
293,23440.0,23.44,67.51152073732719,upper_middle_50_75
294,23520.0,23.52,67.74193548387096,upper_middle_50_75
295,23600.0,23.6,67.97235023041475,upper_middle_50_75
296,23680.0,23.68,68.20276497695853,upper_middle_50_75
297,23760.0,23.76,68.4331797235023,upper_middle_50_75
298,23840.0,23.84,68.66359447004609,upper_middle_50_75
299,23920.0,23.92,68.89400921658986,upper_middle_50_75
300,24000.0,24.0,69.12442396313364,upper_middle_50_75
301,24080.0,24.08,69.35483870967742,upper_middle_50_75
302,24160.0,24.16,69.5852534562212,upper_middle_50_75
303,24240.0,24.24,69.81566820276498,upper_middle_50_75
304,24320.0,24.32,70.04608294930875,upper_middle_50_75
305,24400.0,24.4,70.27649769585254,upper_middle_50_75
306,24480.0,24.48,70.50691244239631,upper_middle_50_75
307,24560.0,24.56,70.73732718894009,upper_middle_50_75
308,24640.0,24.64,70.96774193548387,upper_middle_50_75
309,24720.0,24.72,71.19815668202764,upper_middle_50_75
310,24800.0,24.8,71.42857142857143,upper_middle_50_75
311,24880.0,24.88,71.6589861751152,upper_middle_50_75
312,24960.0,24.96,71.88940092165899,upper_middle_50_75
313,25040.0,25.04,72.11981566820278,upper_middle_50_75
314,25120.0,25.12,72.35023041474655,upper_middle_50_75
315,25200.0,25.2,72.58064516129032,upper_middle_50_75
316,25280.0,25.28,72.81105990783409,upper_middle_50_75
317,25360.0,25.36,73.04147465437788,upper_middle_50_75
318,25440.0,25.44,73.27188940092167,upper_middle_50_75
319,25520.0,25.52,73.50230414746544,upper_middle_50_75
320,25600.0,25.6,73.73271889400922,upper_middle_50_75
321,25680.0,25.68,73.963133640553,upper_middle_50_75
322,25760.0,25.76,74.19354838709677,upper_middle_50_75
323,25840.0,25.84,74.42396313364056,upper_middle_50_75
324,25920.0,25.92,74.65437788018433,upper_middle_50_75
325,26000.0,26.0,74.88479262672811,upper_middle_50_75
326,26080.0,26.08,75.11520737327189,top_75_100
327,26160.0,26.16,75.34562211981567,top_75_100
328,26240.0,26.24,75.57603686635944,top_75_100
329,26320.0,26.32,75.80645161290323,top_75_100
330,26400.0,26.4,76.036866359447,top_75_100
331,26480.0,26.48,76.26728110599078,top_75_100
332,26560.0,26.56,76.49769585253456,top_75_100
333,26640.0,26.64,76.72811059907833,top_75_100
334,26720.0,26.72,76.95852534562212,top_75_100
335,26800.0,26.8,77.18894009216591,top_75_100
336,26880.0,26.88,77.41935483870968,top_75_100
337,26960.0,26.96,77.64976958525345,top_75_100
338,27040.0,27.04,77.88018433179722,top_75_100
339,27120.0,27.12,78.11059907834101,top_75_100
340,27200.0,27.2,78.3410138248848,top_75_100
341,27280.0,27.28,78.57142857142857,top_75_100
342,27360.0,27.36,78.80184331797236,top_75_100
343,27440.0,27.44,79.03225806451613,top_75_100
344,27520.0,27.52,79.26267281105991,top_75_100
345,27600.0,27.6,79.49308755760369,top_75_100
346,27680.0,27.68,79.72350230414746,top_75_100
347,27760.0,27.76,79.95391705069125,top_75_100
348,27840.0,27.84,80.18433179723502,top_75_100
349,27920.0,27.92,80.4147465437788,top_75_100
350,28000.0,28.0,80.64516129032258,top_75_100
351,28080.0,28.08,80.87557603686636,top_75_100
352,28160.0,28.16,81.10599078341014,top_75_100
353,28240.0,28.24,81.33640552995391,top_75_100
354,28320.0,28.32,81.5668202764977,top_75_100
355,28400.0,28.4,81.79723502304147,top_75_100
356,28480.0,28.48,82.02764976958525,top_75_100
357,28560.0,28.56,82.25806451612904,top_75_100
358,28640.0,28.64,82.48847926267281,top_75_100
359,28720.0,28.72,82.7188940092166,top_75_100
360,28800.0,28.8,82.94930875576037,top_75_100
361,28880.0,28.88,83.17972350230414,top_75_100
362,28960.0,28.96,83.41013824884793,top_75_100
363,29040.0,29.04,83.6405529953917,top_75_100
364,29120.0,29.12,83.87096774193549,top_75_100
365,29200.0,29.2,84.10138248847926,top_75_100
366,29280.0,29.28,84.33179723502305,top_75_100
367,29360.0,29.36,84.56221198156682,top_75_100
368,29440.0,29.44,84.7926267281106,top_75_100
369,29520.0,29.52,85.02304147465438,top_75_100
370,29600.0,29.6,85.25345622119815,top_75_100
371,29680.0,29.68,85.48387096774194,top_75_100
372,29760.0,29.76,85.71428571428571,top_75_100
373,29840.0,29.84,85.9447004608295,top_75_100
374,29920.0,29.92,86.17511520737328,top_75_100
375,30000.0,30.0,86.40552995391705,top_75_100
376,30080.0,30.08,86.63594470046083,top_75_100
