z_index,z_position_mm,pores_fraction,resin_fraction,material_fraction,total_fraction
199,15.92,0.0483646679274669,0.19293024808098788,0.7587050839915452,1.0
200,16.0,0.048114361997997554,0.19251307153187228,0.7593725664701302,1.0
201,16.080000000000002,0.04816998553787963,0.1907331182556458,0.7610968962064746,1.0
202,16.16,0.047752808988764044,0.19384803648904217,0.7583991545221938,1.0
203,16.240000000000002,0.045194126154188455,0.19668483702302814,0.7581210368227834,1.0
204,16.32,0.0436644788074313,0.1942374012682167,0.762098119924352,1.0
205,16.4,0.04269106685949494,0.18725664701301592,0.7700522861274891,1.0
206,16.48,0.04085549004338636,0.1833351874513294,0.7758093225052842,1.0
207,16.56,0.03785181888975414,0.18645010568472578,0.77569807542552,1.0
208,16.64,0.035487818444765826,0.1900934475470019,0.7744187340082322,1.0
209,16.72,0.03151073534319724,0.19687951941261542,0.7716097452441874,1.0
210,16.8,0.029647346757147624,0.20082879074424295,0.7695238624986094,1.0
211,16.88,0.02708866392257203,0.20561241517410167,0.7672989209033263,1.0
212,16.96,0.02541995772610969,0.2124541105795973,0.762125931694293,1.0
213,17.04,0.024418734008232284,0.2227166536878407,0.752864612303927,1.0
214,17.12,0.022694404271887864,0.23239514962732227,0.7449104461007898,1.0
215,17.2,0.019662921348314606,0.23428634998331294,0.7460507286683724,1.0
216,17.28,0.016436756035154078,0.22683279563911446,0.7567304483257314,1.0
217,17.36,0.013321837801757703,0.2116197574813661,0.7750584047168761,1.0
218,17.44,0.009567248859717433,0.19988319056624765,0.7905495605740349,1.0
219,17.52,0.007509177884080543,0.19504394259650684,0.7974468795194126,1.0
220,17.6,0.007175436644788074,0.19165090666370008,0.8011736566915119,1.0
221,17.68,0.007425742574257425,0.1955723662253866,0.797001891200356,1.0
222,17.76,0.007926354433196128,0.19946601401713204,0.7926076315496718,1.0
223,17.84,0.008677272221604183,0.20157970853265103,0.7897430192457447,1.0
224,17.92,0.009038825230837691,0.20352653242852375,0.7874346423406385,1.0
225,18.0,0.009316942930248082,0.19988319056624765,0.7907998665035043,1.0
226,18.080000000000002,0.009428190010012237,0.1984926020691957,0.7920792079207921,1.0
227,18.16,0.010624096117476917,0.19952163755701413,0.7898542663255089,1.0
228,18.240000000000002,0.01048503726777172,0.20130159083324062,0.7882133718989877,1.0
229,18.32,0.009205695850483924,0.20369340304817,0.7871009011013461,1.0
230,18.400000000000002,0.007703860273667817,0.20541773278451442,0.7868784069418178,1.0
231,18.48,0.006619201245967293,0.20171876738235622,0.7916620313716765,1.0
232,18.56,0.006285460006674824,0.2028590499499388,0.7908554900433864,1.0
233,18.64,0.006313271776615864,0.2071976860607409,0.7864890421626433,1.0
234,18.72,0.006062965847146513,0.21042385137390143,0.7835131827789521,1.0
235,18.8,0.0054511069084436535,0.20794860384914896,0.7866002892424074,1.0
236,18.88,0.00611858938702859,0.20533429747469129,0.7885471131382801,1.0
237,18.96,0.006480142396262098,0.2056958504839248,0.7878240071198132,1.0
238,19.04,0.006786071865613527,0.20700300367115362,0.7862109244632328,1.0
239,19.12,0.00673044832573145,0.21009011013460896,0.7831794415396596,1.0
240,19.2,0.010318166648125487,0.21178662810101234,0.7778952052508622,1.0
