phase,label_3d,volume_voxels,volume_mm3,equivalent_diameter_voxels,equivalent_diameter_um,centroid_z_pixels,centroid_y_pixels,centroid_x_pixels,centroid_z_mm,centroid_y_mm,centroid_x_mm,bbox_z_pixels,bbox_y_pixels,bbox_x_pixels,bbox_z_mm,bbox_y_mm,bbox_x_mm,longest_axis_bbox_pixels,intermediate_axis_bbox_pixels,shortest_axis_bbox_pixels,elongation_bbox,flatness_bbox,extent_3d,mean_intensity,min_intensity,max_intensity
resin,4857,570.0,0.29184000000000004,10.287079065364845,822.9663252291875,112.5280701754386,12.008771929824562,21.378947368421052,9.002245614035088,0.960701754385965,1.7103157894736842,10,16,12,0.8,1.28,0.96,16.0,12.0,10.0,1.6,1.3333333333333333,0.296875,123.37543859649122,89.0,168.0
resin,4867,219.0,0.11212800000000002,7.478511471637478,598.2809177309982,113.76712328767124,82.8310502283105,192.4337899543379,9.1013698630137,6.62648401826484,15.394703196347033,10,8,8,0.8,0.64,0.64,10.0,8.0,8.0,1.25,1.25,0.3421875,125.53424657534246,92.0,168.0
resin,4877,158.0,0.08089600000000001,6.7073786097756045,536.5902887820483,111.55696202531645,175.84177215189874,10.689873417721518,8.924556962025317,14.067341772151899,0.8551898734177215,8,5,8,0.64,0.4,0.64,8.0,8.0,5.0,1.6,1.0,0.49375,124.33544303797468,88.0,167.0
resin,4881,621.0,0.31795200000000007,10.585165662021076,846.8132529616861,117.8840579710145,5.033816425120773,5.115942028985507,9.43072463768116,0.40270531400966186,0.40927536231884054,15,12,14,1.2,0.96,1.12,15.0,14.0,12.0,1.25,1.0714285714285714,0.24642857142857144,120.84702093397746,89.0,168.0
resin,4890,116.0,0.05939200000000001,6.050897399235387,484.071791938831,111.36206896551724,70.13793103448276,102.18103448275862,8.908965517241379,5.611034482758621,8.17448275862069,6,6,7,0.48,0.48,0.56,7.0,6.0,6.0,1.1666666666666667,1.1666666666666667,0.4603174603174603,143.22413793103448,117.0,168.0
resin,4891,111.0,0.05683200000000001,5.962679307090674,477.01434456725394,111.83783783783784,71.53153153153153,109.11711711711712,8.947027027027028,5.722522522522523,8.729369369369369,6,8,5,0.48,0.64,0.4,8.0,6.0,5.0,1.6,1.3333333333333333,0.4625,134.2972972972973,101.0,167.0
resin,4906,401.0,0.20531200000000002,9.14917462433869,731.9339699470952,118.18703241895261,175.12718204488777,175.48379052369077,9.454962593516209,14.010174563591022,14.038703241895263,21,7,12,1.68,0.56,0.96,21.0,12.0,7.0,3.0,1.75,0.22732426303854875,125.16708229426433,88.0,168.0
resin,4917,752.0,0.3850240000000001,11.282527639042765,902.6022111234213,117.74601063829788,61.45744680851064,134.10106382978722,9.41968085106383,4.916595744680851,10.728085106382977,17,12,20,1.36,0.96,1.6,20.0,17.0,12.0,1.6666666666666667,1.1764705882352942,0.1843137254901961,141.1037234042553,96.0,168.0
resin,4935,392.0,0.20070400000000002,9.08020837425491,726.4166699403928,118.26020408163265,2.104591836734694,47.984693877551024,9.460816326530612,0.16836734693877553,3.838775510204082,15,7,13,1.2,0.56,1.04,15.0,13.0,7.0,2.142857142857143,1.1538461538461537,0.28717948717948716,131.10714285714286,90.0,168.0
resin,4955,237.0,0.12134400000000002,7.678031824807701,614.2425459846161,114.49367088607595,141.52742616033754,173.70886075949366,9.159493670886077,11.322194092827003,13.896708860759492,8,8,8,0.64,0.64,0.64,8.0,8.0,8.0,1.0,1.0,0.462890625,127.48101265822785,94.0,168.0
resin,4965,193.0,0.09881600000000001,7.17000671219614,573.6005369756912,115.19170984455958,3.94300518134715,97.31088082901555,9.215336787564766,0.315440414507772,7.784870466321244,8,7,8,0.64,0.56,0.64,8.0,8.0,7.0,1.1428571428571428,1.0,0.43080357142857145,125.21761658031087,92.0,168.0
resin,4972,283.0,0.14489600000000002,8.14571612592436,651.6572900739487,116.01413427561837,53.02826855123675,199.67137809187278,9.28113074204947,4.24226148409894,15.973710247349823,10,16,6,0.8,1.28,0.48,16.0,10.0,6.0,2.6666666666666665,1.6,0.2947916666666667,124.09187279151944,89.0,168.0
resin,4974,1882.0,0.9635840000000001,15.318174018889874,1225.45392151119,124.41073326248672,71.56163655685441,195.6886291179596,9.952858660998938,5.724930924548353,15.655090329436769,27,23,15,2.16,1.84,1.2,27.0,23.0,15.0,1.8,1.173913043478261,0.2020397208803006,124.97768331562168,88.0,168.0
resin,4983,105.0,0.05376000000000001,5.853247553205011,468.2598042564009,115.27619047619048,103.81904761904762,72.67619047619047,9.222095238095239,8.30552380952381,5.814095238095238,8,8,5,0.64,0.64,0.4,8.0,8.0,5.0,1.6,1.0,0.328125,134.02857142857144,103.0,168.0
resin,4994,1879.0,0.9620480000000001,15.310030384171142,1224.8024307336914,123.54976051091006,172.8158594997339,94.28100053219798,9.883980840872805,13.825268759978712,7.542480042575838,26,12,32,2.08,0.96,2.56,32.0,26.0,12.0,2.6666666666666665,1.2307692307692308,0.1882011217948718,131.37094199042045,89.0,168.0
resin,4997,148.0,0.07577600000000001,6.562777760167609,525.0222208134087,119.45945945945945,176.11486486486487,69.80405405405405,9.556756756756757,14.08918918918919,5.584324324324324,14,5,11,1.12,0.4,0.88,14.0,11.0,5.0,2.8,1.2727272727272727,0.19220779220779222,143.7027027027027,89.0,168.0
resin,5012,151.0,0.07731200000000002,6.606824566768998,528.5459653415198,116.19205298013244,93.17218543046357,44.24503311258278,9.295364238410595,7.453774834437086,3.5396026490066226,7,7,7,0.56,0.56,0.56,7.0,7.0,7.0,1.0,1.0,0.4402332361516035,130.19205298013244,103.0,167.0
resin,5019,108.0,0.05529600000000001,5.908470131056179,472.67761048449427,116.54629629629629,118.24074074074075,63.74074074074074,9.323703703703703,9.45925925925926,5.099259259259259,9,7,5,0.72,0.56,0.4,9.0,7.0,5.0,1.8,1.2857142857142858,0.34285714285714286,138.17592592592592,105.0,168.0
resin,5032,102.0,0.052224000000000007,5.796962840557109,463.7570272445687,117.00980392156863,69.98039215686275,186.63725490196077,9.36078431372549,5.59843137254902,14.930980392156862,7,6,8,0.56,0.48,0.64,8.0,7.0,6.0,1.3333333333333333,1.1428571428571428,0.30357142857142855,130.76470588235293,95.0,168.0
resin,5039,611.0,0.31283200000000005,10.528040072456522,842.2432057965217,121.0229132569558,113.79214402618658,110.55319148936171,9.681833060556464,9.103371522094927,8.844255319148937,14,12,14,1.12,0.96,1.12,14.0,14.0,12.0,1.1666666666666667,1.0,0.25977891156462585,126.8657937806874,88.0,168.0
resin,5043,158.0,0.08089600000000001,6.7073786097756045,536.5902887820483,117.80379746835443,133.30379746835442,50.03164556962025,9.424303797468355,10.664303797468353,4.00253164556962,10,8,7,0.8,0.64,0.56,10.0,8.0,7.0,1.4285714285714286,1.25,0.28214285714285714,142.01898734177215,90.0,168.0
resin,5053,425.0,0.21760000000000004,9.328176809185312,746.2541447348249,118.76941176470588,10.59529411764706,42.985882352941175,9.50155294117647,0.8476235294117648,3.438870588235294,9,14,18,0.72,1.12,1.44,18.0,14.0,9.0,2.0,1.2857142857142858,0.18738977072310406,140.90588235294118,96.0,168.0
resin,5054,669.0,0.34252800000000005,10.851151620608976,868.092129648718,124.47085201793722,6.738415545590433,73.58893871449925,9.957668161434977,0.5390732436472346,5.88711509715994,20,12,18,1.6,0.96,1.44,20.0,18.0,12.0,1.6666666666666667,1.1111111111111112,0.15486111111111112,133.3034379671151,89.0,168.0
resin,5076,243.0,0.12441600000000003,7.742286124452896,619.3828899562317,118.55144032921811,157.3744855967078,199.01234567901236,9.48411522633745,12.589958847736625,15.920987654320989,8,8,6,0.64,0.64,0.48,8.0,8.0,6.0,1.3333333333333333,1.0,0.6328125,137.88477366255145,111.0,168.0
resin,5085,388.0,0.19865600000000003,9.049217660914156,723.9374128731324,119.17525773195877,10.59020618556701,58.75,9.534020618556701,0.8472164948453609,4.7,7,11,11,0.56,0.88,0.88,11.0,11.0,7.0,1.5714285714285714,1.0,0.45808736717827625,124.01546391752578,95.0,168.0
resin,5089,91.0,0.04659200000000001,5.580600367226721,446.4480293781377,118.74725274725274,48.395604395604394,112.06593406593407,9.49978021978022,3.8716483516483517,8.965274725274726,8,4,6,0.64,0.32,0.48,8.0,6.0,4.0,2.0,1.3333333333333333,0.4739583333333333,147.95604395604394,116.0,168.0
resin,5100,115.0,0.05888000000000001,6.033459557881385,482.67676463051083,118.62608695652175,153.2,191.45217391304348,9.49008695652174,12.256,15.316173913043478,7,6,8,0.56,0.48,0.64,8.0,7.0,6.0,1.3333333333333333,1.1428571428571428,0.34226190476190477,145.6695652173913,115.0,167.0
resin,5102,1913.0,0.9794560000000002,15.401822567249368,1232.1458053799495,130.50496602195506,164.10925248301098,92.10977522216415,10.440397281756404,13.128740198640878,7.368782017773132,28,21,41,2.24,1.68,3.2800000000000002,41.0,28.0,21.0,1.9523809523809523,1.4642857142857142,0.07935125269620043,134.9456351280711,88.0,168.0
resin,5107,1543.0,0.7900160000000002,14.336916897968136,1146.9533518374508,126.94361633182113,173.43162670123138,44.52689565780946,10.155489306545691,13.87453013609851,3.562151652624757,23,12,34,1.84,0.96,2.72,34.0,23.0,12.0,2.8333333333333335,1.4782608695652173,0.16442881500426257,128.4406999351912,89.0,168.0
resin,5111,106.0,0.05427200000000001,5.871770611970455,469.7416489576364,119.18867924528301,32.698113207547166,57.783018867924525,9.535094339622642,2.6158490566037735,4.622641509433962,5,6,11,0.4,0.48,0.88,11.0,6.0,5.0,2.2,1.8333333333333333,0.3212121212121212,132.39622641509433,100.0,168.0
resin,5120,354.0,0.18124800000000002,8.776773280386656,702.1418624309325,122.36158192090396,93.0,5.192090395480226,9.788926553672317,7.44,0.41536723163841804,11,11,14,0.88,0.88,1.12,14.0,11.0,11.0,1.2727272727272727,1.2727272727272727,0.2089728453364817,129.27966101694915,88.0,168.0
