label,eccentricity,area_um2,diameter_um,perimeter_um,centroid_x_um,centroid_y_um,circularity
78,0.6898605623642444,8800.0,105.85134856802455,289.7056274847714,6660.0,12550.0,1.3175850953129944
79,0.3018827655051409,84400.0,327.8130832893156,1033.9696961967,19097.251184834124,12722.180094786729,0.9920571454869138
80,0.5773502691896258,3200.0,63.83076486422923,153.1370849898476,1810.0,12840.0,1.7147432047717244
81,0.5773502691896258,3200.0,63.83076486422923,153.1370849898476,19010.0,13620.0,1.7147432047717244
82,0.5773502691896258,3200.0,63.83076486422923,153.1370849898476,7750.0,13880.0,1.7147432047717244
83,0.0,2000.0,50.46265044040321,113.13708498984761,15940.0,13940.0,1.963495408340222
84,0.6495461882991145,10400.0,115.07254783503184,329.70562748477136,7661.538461538462,14236.153846153846,1.2022380906281118
85,0.0,2000.0,50.46265044040321,113.13708498984761,13480.0,14500.0,1.963495408340222
86,0.0,2000.0,50.46265044040321,113.13708498984761,21500.0,15180.0,1.963495408340222
87,0.5207037318817046,7600.0,98.3698151873187,261.4213562373095,14296.842105263158,15283.157894736842,1.3974662543710747
88,0.5849866175853743,9600.0,110.55812783082736,301.4213562373095,13386.666666666668,15562.5,1.3278012032019386
89,0.5773502691896258,3200.0,63.83076486422923,153.1370849898476,3720.0,15590.0,1.7147432047717244
90,0.6292889820590859,5600.0,84.44016491289504,221.4213562373095,20375.714285714286,15772.857142857141,1.4353535174388334
91,0.0,2000.0,50.46265044040321,113.13708498984761,11100.0,15940.0,1.963495408340222
92,0.0,2000.0,50.46265044040321,113.13708498984761,18920.0,16780.0,1.963495408340222
93,0.6292889820590859,5600.0,84.44016491289504,221.4213562373095,16052.857142857141,17224.285714285714,1.4353535174388334
94,0.7296608671767802,5200.0,81.36857890256438,221.4213562373095,12975.384615384613,17544.615384615387,1.3328282661932025
95,0.0,2000.0,50.46265044040321,113.13708498984761,3940.0,17540.0,1.963495408340222
96,0.32866007799124036,40400.0,226.80140565547774,687.6955262170047,16978.41584158416,17839.0099009901,1.0734920462821673
97,0.6598092915007954,9200.0,108.23032759612019,301.4213562373095,9544.347826086956,17946.08695652174,1.2724761530685245
98,0.6164414002968978,4000.0,71.36496464611085,181.4213562373095,18246.0,17934.0,1.5271898776602446
99,0.4760065949973938,10400.0,115.07254783503184,317.9898987322333,19293.076923076922,17953.076923076922,1.2924583435553427
100,0.3712452525435038,76400.0,311.8902069924069,972.5483399593904,10347.958115183246,18063.664921465966,1.0150345586144096
101,0.4621420746803289,1724800.0,1481.9188799523436,4922.152954766495,14363.381261595548,18737.657699443414,0.8946195760693172
102,0.2677475378977797,48800.0,249.2671052968601,772.5483399593904,17635.737704918032,18203.60655737705,1.0274917859861372
103,0.5773502691896258,3200.0,63.83076486422923,153.1370849898476,4980.0,18190.0,1.7147432047717244
104,0.0,2000.0,50.46265044040321,113.13708498984761,7840.0,18180.0,1.963495408340222
105,0.6598092915007954,9200.0,108.23032759612019,301.4213562373095,9824.347826086956,18973.91304347826,1.2724761530685245
106,0.5773502691896258,3200.0,63.83076486422923,153.1370849898476,4720.0,19110.0,1.7147432047717244
107,0.0,2000.0,50.46265044040321,113.13708498984761,12840.0,19140.0,1.963495408340222
108,0.5773502691896258,3200.0,63.83076486422923,153.1370849898476,5290.0,19240.0,1.7147432047717244
109,0.8193342786072867,4400.0,74.84820637019111,181.4213562373095,5100.0,19267.272727272728,1.6799088654262693
110,0.0,2000.0,50.46265044040321,113.13708498984761,17540.0,19260.0,1.963495408340222
111,0.5773502691896258,3200.0,63.83076486422923,153.1370849898476,5020.0,19370.0,1.7147432047717244
112,0.6164414002968978,4000.0,71.36496464611085,181.4213562373095,5134.0,19374.0,1.5271898776602446
113,0.0,2000.0,50.46265044040321,113.13708498984761,15300.0,19660.0,1.963495408340222
114,0.27571453260393997,37600.0,218.80083839428522,671.1269837220809,12094.468085106382,19777.44680851064,1.0490309646522422
115,0.7296608671767802,5200.0,81.36857890256438,221.4213562373095,15404.615384615387,19715.384615384613,1.3328282661932025
116,0.4541475531146237,12000.0,123.60774464742066,346.2741699796952,6730.0,20020.0,1.2576242881585513
117,0.5773502691896258,6400.0,90.270333367641,233.1370849898476,11690.0,20340.0,1.4796776499902178
118,0.0,2000.0,50.46265044040321,113.13708498984761,9920.0,20900.0,1.963495408340222
119,0.0,2000.0,50.46265044040321,113.13708498984761,12580.0,21280.0,1.963495408340222
120,0.5773502691896258,3200.0,63.83076486422923,153.1370849898476,11640.0,21830.0,1.7147432047717244
