slice_id,z_um,pore_fraction,resin_fraction,matrix_fraction,assigned_fraction,mean_intensity,std_intensity,mean_intensity_pores,mean_intensity_resin,mean_intensity_matrix,pore_object_count,mean_pore_area_um2,median_pore_area_um2,mean_pore_equivalent_diameter_um,median_pore_equivalent_diameter_um,resin_object_count,mean_resin_area_um2,median_resin_area_um2,mean_resin_equivalent_diameter_um,median_resin_equivalent_diameter_um,heterogeneity_index
49,3920.0,0.002224941595283124,0.2013572143731227,0.7921626432306152,0.995744799199021,187.12960284792524,32.67202181239166,69.3125,130.39406077348067,202.10486957132323,28,18285.714285714286,12800.0,141.28765472228466,127.66152972845846,246,188357.72357723577,105600.0,410.7445438254799,366.63772640253313,0.33544436354285917
50,4000.0,0.0026421181443987097,0.19888196684837023,0.7947213260651907,0.9962454110579597,187.0889142285015,32.70759653673096,68.92631578947369,129.92182911480913,201.97609798775153,31,19612.90322580645,6400.0,138.91578687660433,90.270333367641,225,203406.22222222222,134400.0,442.20566459138803,413.67063566611284,0.33680262796409716
51,4080.0,0.0036989654021581933,0.20169095561241518,0.7913561019023251,0.9967460229168984,187.06969629547226,33.283588891449746,64.42857142857143,129.8656922228351,202.37917340268504,30,28373.333333333332,9600.0,160.74594413715207,108.96593154804972,237,195834.59915611814,140800.0,437.93142246374674,423.4053942720982,0.33454937812196833
52,4160.0,0.004700189120035599,0.2068361330515074,0.7845144064968295,0.9960507286683724,187.00442207142063,34.007962353216726,64.67455621301775,129.96450181524807,202.97855218377765,33,32775.757575757576,12800.0,169.47307141812445,127.66152972845846,240,198320.0,147200.0,433.57202805629623,432.9213103844808,0.3304342834417251
53,4240.0,0.005395483368561575,0.2097563688953165,0.7805095116253198,0.9956613638891979,187.01220936700412,34.41828036293848,64.6340206185567,130.09639352956776,203.37941847206386,30,41386.666666666664,16000.0,197.71691410045202,142.0071667686964,252,191542.85714285713,128000.0,419.7801975494026,403.7012035232256,0.32801156454373737
54,4320.0,0.005006118589387028,0.2084770274780287,0.7819557236622539,0.9954388697296696,187.16442318389142,34.02399878510727,66.10555555555555,130.62673425827109,203.2695262483995,34,33882.35294117647,19200.0,182.61039944707227,156.35280380893437,253,189622.13438735178,121600.0,421.11951504706445,393.4792607492748,0.3289594562259091
55,4400.0,0.003420847702747803,0.20269217933029257,0.7894649015463344,0.9955779285793748,187.39250750917788,33.3418803646063,66.22764227642277,130.37568605927552,202.82575917705913,34,23152.941176470587,6400.0,147.63478651207055,90.270333367641,227,205476.65198237885,140800.0,447.02074670912043,423.4053942720982,0.3336459443662296
56,4480.0,0.004199577261096896,0.1947380131271554,0.7960562910223606,0.994993881410613,187.60710312604294,32.80861182944592,66.6092715231788,130.97986289631532,202.39370436362367,34,28423.529411764706,12800.0,164.49056587895015,127.66152972845846,265,169104.90566037735,102400.0,394.0927518719849,361.081333470564,0.33746203440814027
57,4560.0,0.005534542218266771,0.1890922238291245,0.7998108799644009,0.9944376460117922,187.75088997663812,32.93125089658072,65.55778894472361,130.65215472863656,202.4165797343348,50,25472.0,9600.0,156.43334516452148,108.96593154804972,232,187558.62068965516,124800.0,423.146194477065,398.59023213625017,0.33953327445078385
58,4640.0,0.00436644788074313,0.18158304594504393,0.8085437757258872,0.9944932695516743,187.71423406385583,32.26287083377274,65.28025477707007,130.00520753561037,201.64777105118327,39,25764.102564102563,12800.0,157.46714736775726,127.66152972845846,239,174835.14644351465,121600.0,408.11709464512296,393.4792607492748,0.3449938250553621
59,4720.0,0.002975859383691178,0.1831961286016242,0.8090721993547669,0.9952441873400824,187.62773945933918,31.680996080379003,68.1214953271028,130.22696219826932,201.30246467979788,36,19022.222222222223,6400.0,139.38393098066183,90.270333367641,240,175653.33333333334,105600.0,406.33485523694003,366.63772640253313,0.34544520560722175
60,4800.0,0.0028089887640449437,0.18597730559572812,0.8068472577594838,0.9956335521192569,187.5673601067972,31.90118598595731,70.03960396039604,130.0349932705249,201.46840853469374,38,17010.526315789473,12800.0,136.1529540919847,127.66152972845846,245,174680.81632653062,115200.0,399.4196169383641,382.9845891853754,0.3440781028584382
61,4880.0,0.0031149182333963733,0.19362554232951384,0.7990321504060518,0.9957726109689621,187.59125041717655,32.559499779685815,66.89285714285714,130.07339844872163,202.2368256178211,36,19911.11111111111,6400.0,143.2869508859743,90.270333367641,236,188800.0,108800.0,413.6381554043254,372.19411933450226,0.339328699946365
62,4960.0,0.0036989654021581933,0.19815886082990322,0.7932194904883747,0.9950773167204361,187.6801368339081,33.101743900642646,66.89473684210526,130.6039298245614,202.79429192524807,35,24320.0,6400.0,151.6586379286197,90.270333367641,250,182400.0,115200.0,409.7190488487781,382.9845891853754,0.33586612138233507
63,5040.0,0.0038380242518633884,0.20160752030259205,0.7902992546445656,0.995744799199021,187.83955389921016,33.411209437499295,64.44927536231884,130.63098358394262,203.26414695945945,28,31542.85714285714,12800.0,167.3330385491825,127.66152972845846,234,198263.24786324787,147200.0,436.58220630529615,432.9213103844808,0.3340312690887758
64,5120.0,0.003977083101568584,0.20447213260651909,0.7882968072088108,0.9967460229168984,187.99516075203027,33.543010960921144,62.6993006993007,131.06909684439609,203.55944820773357,22,41600.0,25600.0,200.01486065251717,180.540666735282,253,185979.4466403162,140800.0,421.990157913528,423.4053942720982,0.33270055692003697
65,5200.0,0.0035320947825119593,0.20352653242852375,0.7894927133162755,0.9965513405273112,188.03376348870842,33.353470995590335,64.54330708661418,130.96652090735174,203.47412547997322,28,29028.571428571428,12800.0,163.24198843984627,127.66152972845846,249,188093.17269076305,128000.0,426.2836019700848,403.7012035232256,0.33351465636951777
