slice_id,z_um,pore_fraction,resin_fraction,matrix_fraction,mean_intensity,std_intensity,pore_object_count,mean_pore_equivalent_diameter_um,resin_object_count,mean_resin_equivalent_diameter_um,heterogeneity_index,PC1,PC2,is_anomaly,anomaly_score,anomaly_category
275,22000.0,0.0066192012459672,0.1731560796529091,0.816247635999555,189.02600400489487,33.3379234508023,61,143.32030154528812,243,404.3175643931772,0.349093983536975,2.7190190794061233,-0.5425077489806516,False,-0.06908395479727947,normal
276,22080.0,0.0073423072644343,0.1729057737234397,0.8166926243186117,189.09158415841583,33.28737731686253,65,141.66641694713536,235,410.12944197409325,0.3491132745400791,2.7972215809647345,-0.5052095417188212,False,-0.06796086536355439,normal
277,22160.0,0.0073701190343753,0.178774057180999,0.8107965290911113,188.80732005784847,33.85572837155964,54,153.17151731192837,254,400.8768906742578,0.3454989486056031,2.264135829618805,-0.3479038146339081,False,-0.10711392856997815,normal
278,22240.0,0.0085104016019579,0.1842251640894426,0.8037323395260875,188.51663143842475,34.41730640952684,57,164.71937011787233,272,379.607722578465,0.3410836894255541,1.4726757213925008,-0.28546915087171204,False,-0.09785042680593281,normal
279,22320.0,0.0077038602736678,0.1917343419735231,0.7980865502280565,188.19765824897092,34.64581298518158,63,144.89313767653198,257,406.05519662935785,0.3376775278327872,1.4256323319075401,-0.48624379903161913,False,-0.15607266437281703,normal
280,22400.0,0.0076204249638446,0.2011903437534764,0.7887139837579263,187.900016687062,35.30603673362656,50,166.98426417060398,257,414.0966413268613,0.3321245563897688,0.9422488879650585,0.00022204482886970306,False,-0.18133843911981073,normal
281,22480.0,0.0080932250528423,0.2071698742907998,0.7814829235732562,187.40502280565136,35.92089779114917,49,174.4028951744744,250,417.2294242309976,0.3278886356719682,0.527714860519813,0.24027177374237557,False,-0.18104286266676556,normal
282,22560.0,0.0076482367337857,0.2190176882856825,0.7690510624096117,186.4727444654578,36.59831945025535,54,161.46881578902196,242,445.1900583543572,0.3209271327206425,0.029607940303158567,0.1826864902189223,False,-0.1486639071194738,normal
283,22640.0,0.0069251307153187,0.2253309600622983,0.7628768494827011,185.66620313716768,36.70190165819701,62,145.3076691681446,253,441.8553006958157,0.3176510472957661,-0.47795053483873545,-0.2612665540277532,False,-0.1269969015614379,normal
284,22720.0,0.0073144954944932,0.2213816887306708,0.7667704972744466,185.22446879519413,36.27489240982786,87,128.64239723082892,253,435.869104129374,0.3197302916077874,-0.4836970001108585,-0.7370452610713313,False,-0.13317187636182848,normal
